Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Public Service Aide,12081.252502645502,34013.789743386245,35.51868990133515
Park & Zoo,22168.76972222222,65363.66462962963,33.916044713583915
Energy & Environment,14254.41,43219.5,32.98143199250339
Revenue,15629.20408888889,47641.78176666667,32.805666600454714
Museum & Cultural Affairs,27037.39,83926.07,32.215722718816686
Housekeeping & Laundry,24222.12511725066,78212.25968306378,30.969729317890764
Street Transit,28657.360756321457,93512.36841761971,30.645529828032675
Recreation,5478.129666666667,17940.71920833333,30.534615714414155
Dietary & Food,15905.132665555555,52375.86135777778,30.36729564580928
Computer Operatns & Repro Svcs,18707.19928819445,62074.04558680555,30.13691005854281
Semi-Skilled & General Labor,23523.724721100458,78944.4459994952,29.79782101612427
Agriculture & Horticulture,27886.590323361816,94075.71176923081,29.642709897075303
Hospital Administration,30206.15696969697,101924.95416666666,29.63568364259862
Med Therapy & Auxiliary,24068.19853244837,81334.19391887904,29.591734266713782
"Payroll, Billing & Accounting",28021.172986666672,94700.32905999999,29.58930899692343
"Clerical, Secretarial & Steno",7166.984746564886,24424.69328124319,29.343192416130492
Information Systems,25076.288771929827,85742.39963157896,29.246077646157016
Purchasing & Storekeeping,27021.74204666666,92451.02252,29.228170019234806
Pub Relations & Spec Assts,28819.732,98635.98199999999,29.21827452379397
Personnel,10111.660891975309,34685.2414845679,29.152632241220438
Property Administration,26791.14333333333,93551.40999999999,28.637882992178664
"Budget, Admn & Stats Analysis",22721.521375,79834.02993750002,28.460947534263383
Human Services,28648.365986791534,100833.91301512963,28.41143929671061
SF Superior Court,13636.096666666666,48377.159999999996,28.187054938046526
Health & Sanitation Inspection,37237.51775,133347.449,27.92518194330062
Sub-Professional Engineering,20620.494906862743,74043.23261764705,27.849263434168552
Airport Operation,33661.15225531915,122059.01167139482,27.577768977796683
Protection & Apprehension,28576.101064655144,103759.24758706894,27.540775139753865
Professional Engineering,26174.420654761903,96624.48077380951,27.08880859710306
Skilled Labor,28135.37064044943,104750.34897315851,26.859452895626063
Construction Inspection,30346.774370606574,113636.7500898526,26.70507062777787
Port Operation,32223.25,121815.55,26.45249313408674
Legal & Court,30144.47472839506,114357.3222222222,26.359899080023503
Journeyman Trade,34033.173710559124,131843.697547884,25.81327309801722
"Lab, Pharmacy & Med Techs",31432.09186049383,122504.91876049379,25.657820256136738
Nursing,23309.28339583332,92637.7094435417,25.161765695469
Probation & Parole,29549.567117647057,117866.34829411765,25.0704018113046
Public Safety Inspection,37823.0650326087,151844.5751231884,24.909065735093673
Supervisory-Labor & Trade,36258.268409774435,148397.82052944865,24.433154260900483
Correction & Detention,32598.79686015324,139648.70685842916,23.34342908968053
Administrative-Labor & Trades,35398.450119047615,162831.63255952383,21.73929571461341
Medical & Dental,25577.22690476191,122705.56892857142,20.844389645958742
Fire Services,38669.03829427625,187040.45198336485,20.674157854214034
Police Services,32260.586181405582,161534.04747356992,19.971384786036538
