Cal_Month,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Jan,2992,2994,3578,3864,3093,2455,2367,3075,2804,4819,4215,3616,3850,5318,3099,3026,4161,1420,1224,1008,1156
Feb,2526,3808,1628,1867,1772,3483,2547,3062,2046,2942,4192,2192,4432,3925,2891,2192,3329,1717,908,709,593
Mar,2346,3056,4154,2790,2139,3466,4456,3191,2671,2703,3802,3426,4429,4964,3401,2721,1598,2311,1159,1020,616
Apr,3743,3199,3250,3598,2787,2317,2965,3888,2247,2969,4278,4631,6223,4033,3398,2483,2603,1601,625,591,1324
May,2854,3313,3337,3969,2917,2588,2976,2685,2351,2967,4065,4294,4327,5340,2992,2703,2777,1151,722,941,1758
Jun,5920,3896,2911,1929,2014,1877,2264,2625,1995,4050,3589,6733,4093,6720,2344,2558,2241,1152,981,701,2362
Jul,5902,5524,3461,2817,2667,3334,3937,3136,3832,3367,7491,6232,8090,6944,4621,3884,3709,2425,1121,1180,1979
Aug,8637,3030,2997,3865,4223,3682,5303,2910,3128,3598,7475,8898,8238,5801,4249,6779,1942,1678,1779,1531,1535
Sep,5728,2474,5429,2607,3378,2264,4860,3282,3644,5247,5629,6343,6530,5934,3697,4702,2474,1898,758,846,1555
Oct,4752,2975,6793,3388,3073,2045,3482,3063,3342,4011,5354,5369,6532,4775,5638,5447,1638,2162,982,1129,1654
Nov,4611,2286,2418,3564,3080,3135,2912,2880,2007,3170,2984,3580,6109,5631,3158,3333,1935,1355,855,1076,1074
Dec,5498,2082,3392,2928,2517,4198,2931,3921,2936,4890,3778,6477,4895,3423,3896,2917,2056,1384,1512,1100,2028
